Time,Open,High,Low,Close,Volume
05.11.2012 10:43:00,1.2792,1.2794,1.27913,1.27932,181.86
05.11.2012 10:44:00,1.27931,1.2795,1.27931,1.2794,171.62
05.11.2012 10:45:00,1.27943,1.27961,1.2794,1.27942,177.05
05.11.2012 10:46:00,1.27939,1.27956,1.27935,1.27943,203.01
05.11.2012 10:47:00,1.27943,1.27953,1.2794,1.27946,129.11
05.11.2012 10:48:00,1.27945,1.27945,1.27923,1.27924,126.04
05.11.2012 10:49:00,1.27923,1.27952,1.27922,1.27945,127.06
05.11.2012 10:50:00,1.27945,1.27951,1.27943,1.27944,91.32
05.11.2012 10:51:00,1.27944,1.27945,1.27933,1.27933,86.98
05.11.2012 10:52:00,1.27933,1.27952,1.2793,1.27952,117.89
05.11.2012 10:53:00,1.27953,1.27955,1.27948,1.27951,85.87
05.11.2012 10:54:00,1.2795,1.27952,1.27932,1.27952,209.42
05.11.2012 10:55:00,1.2795,1.27964,1.27947,1.27964,216.8
05.11.2012 10:56:00,1.27963,1.2798,1.27963,1.27973,157.95
05.11.2012 10:57:00,1.27973,1.27986,1.27965,1.27983,130.84
05.11.2012 10:58:00,1.27982,1.27986,1.27981,1.27983,86.47
05.11.2012 10:59:00,1.27983,1.27984,1.27979,1.27981,50.24
05.11.2012 11:00:00,1.27982,1.27986,1.27973,1.27981,117.13
05.11.2012 11:01:00,1.27979,1.2798,1.27968,1.2798,144.15
05.11.2012 11:02:00,1.27981,1.27982,1.27974,1.2798,142.29
05.11.2012 11:03:00,1.27981,1.27993,1.27981,1.27993,92.52
05.11.2012 11:04:00,1.27991,1.27994,1.27991,1.27992,46.12
05.11.2012 11:05:00,1.2799,1.28026,1.2799,1.28026,151.42
05.11.2012 11:06:00,1.28027,1.28029,1.27994,1.28005,304.16
05.11.2012 11:07:00,1.28001,1.28019,1.27988,1.28014,322.84
05.11.2012 11:08:00,1.28015,1.28015,1.27993,1.28012,187.16
05.11.2012 11:09:00,1.2801,1.28013,1.27997,1.28005,162.4
05.11.2012 11:10:00,1.28005,1.28022,1.28002,1.28015,140.5
05.11.2012 11:11:00,1.28015,1.28019,1.28009,1.28016,162.63
05.11.2012 11:12:00,1.28015,1.28015,1.28003,1.28011,107.9
05.11.2012 11:13:00,1.28011,1.2802,1.28009,1.28013,59.23
05.11.2012 11:14:00,1.28012,1.28013,1.27984,1.27992,122.91
05.11.2012 11:15:00,1.27989,1.27989,1.2797,1.27973,151.4
05.11.2012 11:16:00,1.27977,1.2798,1.2796,1.27961,149.44
05.11.2012 11:17:00,1.27961,1.27976,1.2796,1.2796,108.76
05.11.2012 11:18:00,1.27959,1.27962,1.27931,1.27931,179.1
